Xerneas: #0A0F1F, #16243D, #24406B, #3D6B9E, #6B9EC4, #A8C4D6, #070B16
Yveltal: #1A0508, #6E0F16, #B31B22, #E03A2E, #8C1119, #3D070C, #14090B
Zygarde: #0B140F, #1E4D33, #3FA05C, #7ED957, #C0392B, #16281C, #0A0F0C
Groudon: #4A0F06, #A32712, #D9451B, #F2762B, #6E4A2C, #2B1A10, #1A0A05
Kyogre: #050B2E, #0E2A6B, #1C4FA8, #2E7FD1, #A31B22, #071540, #030718
Rayquaza: #04120C, #0B3D24, #16803F, #2BB35C, #E8C13A, #08281A, #050F0A
Deoxys: #3D0A05, #9E2410, #E04A1B, #F2803A, #1E8C8C, #6B2A8C, #14060B
Jirachi: #F2E27A, #E8C93A, #C9A21B, #4A7FC4, #2E5BA8, #8C6F14, #FAF3C0
Latias: #6B0A14, #B31B2E, #E03A5C, #F27A96, #E8E8F0, #A0AEC4, #3D060D
Latios: #0A1A4A, #1B3D8C, #2E6BD1, #6BA3F0, #E8E8F0, #A0AEC4, #061030
Hoopa: #1A0A2E, #3D1466, #6B2AA8, #9E4FD1, #E8B02E, #4A1F14, #0D0518
Diancie: #4A0A28, #A31B52, #E03A7A, #F27AA8, #C4C9D6, #7A8296, #FADCE8
Sceptile: #0A2410, #1B5C24, #2E9E3D, #5CC456, #A31B22, #7A5C1B, #06160A
Blaziken: #4A0A05, #A31B12, #E0451B, #F2903A, #F2D68C, #6B2A10, #1A0605
Swampert: #06183D, #0E3D7A, #1B6BC4, #3F9ED1, #E06B2E, #0A2450, #04101F
Metagross: #0A1F2E, #1B4A6B, #2E7A9E, #4FA8C4, #C4CDD6, #8C1B22, #061420
Salamence: #061A4A, #0E3D8C, #1B6BD1, #A31B22, #E0452E, #0A2456, #040F2E
Regice: #0A2A4A, #1B5C8C, #2E8CC4, #6BC4E8, #C4EAFA, #4A9ED6, #061A2E
Regirock: #3D2410, #7A4A1B, #B36B2E, #D18C4F, #E0B07A, #5C3514, #241408
Registeel: #1A1F24, #3D454F, #6B7580, #9EA8B3, #C4CDD6, #2E353D, #0F1216
Solgaleo: #F2E8D6, #E8C93A, #F2903A, #D1541B, #1B3D8C, #8C6F14, #FFFAF0
Lunala: #0A0A2E, #1B1B5C, #3D2A8C, #6B4FC4, #4FD1E8, #C4E8FA, #050518
Dawn Wings Necrozma: #050A1F, #0E1F4A, #1B3D7A, #2E6BA8, #4FD1E8, #0A1430, #030610
Dusk Mane Necrozma: #14100A, #3D2E10, #7A5C1B, #C99E2E, #F2C93A, #E0762E, #0A0805
Necrozma: #08080F, #16162E, #2E2E52, #4F4F80, #6B4FC4, #1B1B33, #050508
Ultra Necrozma: #6B4A05, #C99E14, #F2C93A, #FAE87A, #FFF7C4, #E0762E, #4A3305
Magearna: #2E2A33, #5C5566, #A39EAD, #D6D1DE, #A31B3D, #E8C93A, #F5F2FA
Zeraora: #14140A, #4A4210, #A38C1B, #E8C93A, #2E7FD1, #1B1B10, #0A0A05
Marshadow: #0A0F0F, #1F2A2A, #3D5252, #5C807A, #2EB38C, #141F1F, #060A0A
Incineroar: #1A0505, #4A0A0A, #A31B14, #E0451B, #F2903A, #2E1410, #0D0303
Primarina: #06183D, #0E3D7A, #1B6BC4, #4FA8E8, #E86BA8, #A3D6F0, #04101F
Decidueye: #14100A, #3D2E14, #6B5024, #2E7A3D, #5CB356, #E8E0D1, #0A0805
Cinderace: #F2EAE0, #E0E0E0, #E0451B, #F2762B, #A31B14, #2E2A28, #FAF7F2
Rillaboom: #1A2410, #3D4A1B, #6B7A2E, #7A5C24, #A31B22, #2E3814, #101806
Inteleon: #06183D, #0E3D7A, #1B6BC4, #4FA8E8, #E8C93A, #0A2450, #04101F
Zacian: #0A2A4A, #1B5C9E, #2E8CD1, #6BC4E8, #E8C93A, #E03A7A, #061A2E
Zamazenta: #4A0A14, #A31B2E, #D93A45, #6B7A96, #E8C93A, #2E5C8C, #1A0508
Dragapult: #0A241F, #1B5C4A, #2E9E7A, #5CC4A8, #A31B45, #E0456B, #061410
Eternatus: #0D0518, #2E0A4A, #5C147A, #A31BA3, #E03A7A, #E8C93A, #060310
Calyrex: #0A2410, #1B5C2E, #3D9E4F, #7AC466, #C4A8E0, #E8E8F0, #06160A
Calyrex Ice Rider: #0A2A4A, #1B5C8C, #4F9ED6, #A3D6F0, #E8FAFF, #2E7A4F, #061A2E
Calyrex Shadow Rider: #0A0518, #2E0A4A, #5C1480, #8C2EB3, #2E9E4F, #C4A8E0, #050310
Glastrier: #0A2A3D, #1B5C7A, #3D8CA8, #7AC4D6, #D6F0FA, #96A3B3, #061A28
Spectrier: #0A0510, #2E0A3D, #52147A, #7A2EA8, #C4A8E0, #E8E0F0, #050308
Regieleki: #4A3D05, #A38C0E, #E8C91B, #FAE83A, #FFF77A, #D9451B, #2E2403
Regidrago: #4A0505, #A30E14, #D91B22, #F23A2E, #E8C93A, #6B0A0F, #2E0303
Zarude: #0A140A, #1F3D1B, #3D6B2E, #5C9E45, #7A5C2E, #142410, #060D06
Urshifu: #0A0A0D, #1F1F24, #3D3D45, #6B6B75, #A8A8B3, #14141A, #050507
Urshifu Rapid Strike: #06101F, #0E2A4A, #1B4F7A, #3D8CB3, #A8C4D6, #0A1830, #040A14
Skeledirge: #1A0505, #4A0A0A, #A31B14, #E0451B, #F2903A, #5C1480, #0D0303
Meowscarada: #0A2410, #1B5C2E, #3D9E4F, #7AC466, #E03A7A, #F2F2F2, #06160A
Quaquaval: #06183D, #0E3D7A, #1B6BC4, #4FA8E8, #E8C93A, #F2F2F2, #04101F
Baxcalibur: #0A2A4A, #1B5C9E, #2E8CD1, #7AD6F0, #E0762E, #C4E8FA, #061A2E
Tinkaton: #4A0A28, #A31B52, #E03A7A, #F27AA8, #7A8296, #C4CDD6, #2E0518
Bellibolt: #0A2414, #1F5C2E, #3D9E4F, #A3C456, #E8C93A, #F2E87A, #06160A
Miraidon: #1A0533, #3D0A66, #6B14A8, #A32ED1, #D95CE8, #2ED1E8, #0D0219
Koraidon: #4A0A08, #A31410, #E03A1B, #F27A45, #F2D6B0, #E8EAF0, #2E0605
Roaring Moon: #0A1410, #14291F, #1F4A33, #8B1A2E, #D9304A, #F25C6B, #060D0A
Iron Valiant: #E8EAF0, #C4CDD6, #E86BA8, #A31B52, #2E9E4F, #7A8296, #FAFBFF
Chi-Yu: #4A0505, #A30E14, #E0451B, #F2903A, #E8C93A, #6B1410, #2E0303
Ting-Lu: #241408, #4A2E14, #7A5024, #A37A3D, #E8C93A, #3D2410, #140A05
Chien-Pao: #0A2A3D, #1B5C7A, #4F9ED6, #A3D6F0, #E8FAFF, #5C2E8C, #061A28
Wo-Chien: #14100A, #2E2414, #4A3D1B, #2E5C2E, #5C2E7A, #7A5024, #0A0805
Hydrapple: #0A2410, #1B5C2E, #3D9E4F, #A31B22, #E0452E, #7AC466, #06160A
